21045 244008052      06110261270590707905000301700000010621283101100802016009007
21045 244008052      06210391300640708906000602000100020631103101601102319012009
21045 244008052      06310401370530607406001002700000020621103101100702319008006
21045 244008052      06410401450630709206000502700100010631103501601102319011009
21045 244008052      06510501031361518011001703806504730303342410608304335081068
21045 244008052      06610571410700809007001403200600010682103302201602722016012
21045 244008052      067105812307208092080009033009000     103302601903126018015
21045 244008052      06810591440630708107001502300100010662243101801302722012010
21045 244008052      06910631070680809007000903500400020652104102101502722015012
21045 244008052      07010731010520606406000602700000010691004101000702319008006
21045 244008052      071107313606708091065010033003000     103601901402521014011
21045 244008052      072108811706107080060006034000000     103201401002319011008
21045 244008052      073109810306908097065004031005000     273102001402521015011
21045 244008052      074110314705406081060008028000000     103101100802319008007
21045 244008052      075110411910111128075003031031014     303704503502924034027
21045 244008052      076112713205306074060011035000000     103101100702319008006
21045 244008052      077113210907208100070008030008000     103402301702722017013
21045 244008052      07811531230520607406501102800000010792104101100702521008006
21045 244008052      07911591101151315809500403204702910782302707005403730052042
21045 244008052      080116314706307084060006030001000     103401601102319012009
21045 244008052      08111681270961111408501103903101210831203104703603327034027
21045 244008052      08211721170800910308000603801700010842203103202403126023018
21045 244008052      08311761350941013608000403702801020852203704203203126031025
21045 244008052      08411801160600707907002204300000020822104101601202722012009
21045 244008052      08511841430640708305500202200100010832204101501002118011009
21045 244008052      08611861220820911307001002601600010841203102902202722021017
21045 244008052      08711881030560707606001603900000010522104101200802319009007
21045 244008052      088120712607709100080004028014000     203503002203126020016
21045 244008052      089120911206107077070013031000000     204101701202722012009
21045 244008052      09012221031211315910000502705303520943303708006203932059049
21045 244008052      09112311300650808207502203500200010922104102001502924014011
21045 244008052      09212321381171314810000803505103230912203107605903932056046
21045 244008052      09312351481161313910001002605003220922203707505803932054044
21045 244008052      09412411081771922213000803009107220583602718915005142153130
21045 244008052      09512431301131214410501804005103110921303307605804134054045
21045 244008052      09612461490520607006001002700000010931104101000702319008006
21045 244008052      097100518006007077055009019000000     104101300902118010007
21045 244008052      098100716208109113065008025015000     301702702002521020016
21045 244008052      099103917808510117090008027024002     203704103103529027022
21045 244008052      100104319305507074065007023000000     104101200802521009007
21045 244008052      101104916006007073060008026000000     103101401002319010008
21045 244008052      102105018206708093065010028003000     203101901402521014011
21045 244008052      103106019105707074048004013000000     204101000701915008006
21045 244008052      104107816308309116070006013017001     203703002202722021017
21045 244008052      10510861881081214209000402704102321061202706004603529043036
21045 244008052      10610871760680809606501303000400021072203102001402521014011
21045 244008052      10710941710760910507000403301100011062203402601902722018015
21045 244008052      10810981880540607605500402600000011051104101000702118008006
21045 244008052      10911171820630707606500703600100011111183101701202521012010
21045 244008052      11011172000600708506500603300000021111103101501102521011009
21045 244008052      11111211930911012408001004102600721101202604003003126029024
21045 244008052      11211271580740810707500303201000011132103702602002924018015
21045 244008052      11311291650640709106500703000100011122103101801202521013010
